Sr.No.,Colleges,CourseName,OPEN,City
1,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Computer Engineering,99.898,"Matunga, Mumbai"
2,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Information Technology,99.791,"Matunga, Mumbai"
3,"College Of Engineering, Pune",Computer Engineering,99.748,Pune
4,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Computer Engineering,99.603,"Andheri, Mumbai"
5,"College Of Engineering, Pune",Electronics & Telecommunication Engineering,99.525,Pune
6,"Pune Institute of Computer Technology, Dhankavdi, Pune",Computer Engineering,99.5119,"Dhankavdi, Pune"
7,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics & Telecommunication Engineering,99.378,"Matunga, Mumbai"
8,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Engineering,99.32611,"Vile Parle,Mumbai"
9,"Institute Of Chemical Technology , Matuga , Mumbai",Chemical Engineering,99.317,"Matuga , Mumbai"
10,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(AI & ML),99.234,"Andheri, Mumbai"
11,"Pune Institute of Computer Technology, Dhankavdi, Pune",Information Technology,99.1613,"Dhankavdi, Pune"
12,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",CSE(DS),99.157,"Andheri, Mumbai"
13,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electronics Engineering,99.153,"Matunga, Mumbai"
14,"Walchand College of Engineering, Sangli",Computer Science and Engineering,99.153,Sangli
15,"College Of Engineering, Pune",Electrical Engineering,99.06,Pune
16,"Walchand College of Engineering, Sangli",Information Technology,98.808,Sangli
17,"College Of Engineering, Pune",Instrumentation & Control  Engineering,98.789,Pune
18,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Information Technology,98.72,"Vile Parle,Mumbai"
19,"College Of Engineering, Pune",Mechanical Engineering,98.716,Pune
20,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Mechanical Engineering,98.661,"Matunga, Mumbai"
21,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Science and Engineering(Data Science),98.566,"Vile Parle,Mumbai"
22,"Veermata Jijabai Technology Institute, Matunga, Mumbai",Electrical Engineering,98.548,"Matunga, Mumbai"
23,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Artificial Intelligence and Machine Learning,98.4625,"Vile Parle,Mumbai"
24,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Artificial Intelligence (AI) and Data Science,98.30788,"Vile Parle,Mumbai"
25,"Bhartiya Vidhya Bhavan's Sardar Patel Institute Of Technology , Andheri, Mumbai",Electronics & Telecommunication Engineering,98.234,"Andheri, Mumbai"
26,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology),98.1563,"Vile Parle,Mumbai"
27,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Computer Engineering,98.116,Pune
28,"Pune Institute of Computer Technology, Dhankavdi, Pune",Electronics & Telecommunication Engineering,98.041,"Dhankavdi, Pune"
29,"Institute Of Chemical Technology , Matuga , Mumbai",Polymer Engineering & Technology,97.925,"Matuga , Mumbai"
30,"Walchand College of Engineering, Sangli",Electronics Engineering,97.766,Sangli
31,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",Information Technology,97.651,Pune
32,"Shri Ramdeobaba College of Engineering & management , Nagpur",Computer Engineering,97.594,Nagpur
