Sr.No.,College Name,CourseName,SC
1,"KIT college of enginieering(Autonomus), Kolhapur",Computer Science and engineering,86.95
2,"KIT college of enginieering(Autonomus), Kolhapur",CSE(DS),80.87
3,"KIT college of enginieering(Autonomus), Kolhapur",CSE(AIML),91.11
4,"KIT college of enginieering(Autonomus), Kolhapur",CSBS,61.91
5,"KIT college of enginieering(Autonomus), Kolhapur",Electronics and Telecommunication Engineering,70.0988506
6,"KIT college of enginieering(Autonomus), Kolhapur",Electrical engineering,54.17
7,"KIT college of enginieering(Autonomus), Kolhapur",Bio Technology,23.48
8,"KIT college of enginieering(Autonomus), Kolhapur",Civil Engineering,27.33
9,"KIT college of enginieering(Autonomus), Kolhapur",Environmental Engineering,0
10,"KIT college of enginieering(Autonomus), Kolhapur",Mechanical Engineering,0.15
